portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,1095100,AMP-USD,SELL,2021-06-15T15:27:24.765Z,11379.00000000,AMP,0.08367,1.90416186,950.17676814,USD
default,1095746,AMP-USD,BUY,2021-06-15T15:29:12.553Z,19728.00000000,AMP,0.08284,3.26853504,-1637.53605504,USD
default,1096819,AMP-USD,SELL,2021-06-15T15:32:03.940Z,19728.00000000,AMP,0.08417,3.32101152,1657.18474848,USD
default,1097285,AMP-USD,BUY,2021-06-15T15:33:27.445Z,6472.00000000,AMP,0.08479,1.09752176,-549.85840176,USD
default,1097286,AMP-USD,BUY,2021-06-15T15:33:27.445Z,4780.00000000,AMP,0.08479,0.8105924,-406.1067924,USD
default,1097287,AMP-USD,BUY,2021-06-15T15:33:27.445Z,1190.00000000,AMP,0.08479,0.2018002,-101.1019002,USD
default,1097288,AMP-USD,BUY,2021-06-15T15:33:27.445Z,7062.00000000,AMP,0.0848,1.1977152,-600.0553152,USD
default,1097859,AMP-USD,SELL,2021-06-15T15:34:44.176Z,19504.00000000,AMP,0.08489,3.31138912,1652.38317088,USD
default,1098909,AMP-USD,BUY,2021-06-15T15:38:04.110Z,12644.00000000,AMP,0.08369,2.11635272,-1060.29271272,USD
default,1098910,AMP-USD,BUY,2021-06-15T15:38:04.110Z,1342.00000000,AMP,0.08385,0.2250534,-112.7517534,USD
default,1098911,AMP-USD,BUY,2021-06-15T15:38:04.110Z,1959.00000000,AMP,0.08386,0.32856348,-164.61030348,USD
default,1098912,AMP-USD,BUY,2021-06-15T15:38:04.110Z,3571.00000000,AMP,0.08386,0.59892812,-300.06298812,USD
default,1098913,AMP-USD,BUY,2021-06-15T15:38:04.110Z,175.00000000,AMP,0.08386,0.029351,-14.704851,USD
default,1106557,AMP-USD,SELL,2021-06-15T16:05:41.132Z,19691.00000000,AMP,0.08717,3.43292894,1713.03154106,USD
default,1108659,AMP-USD,BUY,2021-06-15T16:13:07.727Z,8260.00000000,AMP,0.08739,1.4436828,-723.2850828,USD
default,1108660,AMP-USD,BUY,2021-06-15T16:13:07.727Z,2300.00000000,AMP,0.08739,0.401994,-201.398994,USD
default,1108661,AMP-USD,BUY,2021-06-15T16:13:07.727Z,9002.00000000,AMP,0.08739,1.57336956,-788.25814956,USD
default,1109711,AMP-USD,SELL,2021-06-15T16:16:47.897Z,14890.00000000,AMP,0.08763,2.6096214,1302.2010786,USD
default,1109712,AMP-USD,SELL,2021-06-15T16:16:47.897Z,4672.00000000,AMP,0.08761,0.81862784,408.49529216,USD
default,1110531,AMP-USD,BUY,2021-06-15T16:19:53.643Z,11507.00000000,AMP,0.08799,2.02500186,-1014.52593186,USD
default,1110532,AMP-USD,BUY,2021-06-15T16:19:53.643Z,1934.00000000,AMP,0.08807,0.34065476,-170.66803476,USD
default,1110533,AMP-USD,BUY,2021-06-15T16:19:53.643Z,3193.00000000,AMP,0.08808,0.56247888,-281.80191888,USD
default,1110534,AMP-USD,BUY,2021-06-15T16:19:53.643Z,2761.00000000,AMP,0.08808,0.48637776,-243.67525776,USD
default,1112963,AMP-USD,SELL,2021-06-15T16:27:08.719Z,19395.00000000,AMP,0.08839,3.4286481,1710.8954019,USD
default,1113438,AMP-USD,BUY,2021-06-15T16:28:18.266Z,19492.00000000,AMP,0.0876,3.4149984,-1710.9141984,USD
